dateff,mktrf,smb,hml,rf,umd
20170831,0.001600,-0.016500,-0.020700,0.00090,0.032600
20170929,0.025100,0.044500,0.030900,0.00090,-0.013200
20171031,0.022500,-0.019300,0.002300,0.00090,0.042700
20171130,0.031200,-0.005600,-0.000500,0.00080,-0.008700
20171229,0.010600,-0.013200,0.000300,0.00090,-0.015400
20180131,0.055800,-0.031800,-0.013600,0.00110,0.040500
20180228,-0.036500,0.002600,-0.010300,0.00110,0.035800
20180329,-0.023500,0.040600,-0.002300,0.00120,-0.011300
20180430,0.002900,0.011000,0.004800,0.00140,0.003600
20180531,0.026500,0.053100,-0.031300,0.00140,0.038900
20180629,0.004800,0.011200,-0.023300,0.00140,-0.023500
20180731,0.031900,-0.022400,0.004500,0.00160,-0.014100
20180831,0.034400,0.011300,-0.039800,0.00160,0.052900
20180928,0.000600,-0.022900,-0.017000,0.00150,0.000400
20181031,-0.076800,-0.047800,0.034300,0.00190,-0.020000
20181130,0.016900,-0.006900,0.002600,0.00180,-0.013700
20181231,-0.095500,-0.024100,-0.019000,0.00190,0.021100
20190131,0.084100,0.029000,-0.004400,0.00210,-0.086800
20190228,0.034000,0.020400,-0.026800,0.00180,0.008600
20190329,0.011000,-0.029800,-0.040500,0.00190,0.022100
20190430,0.039700,-0.017200,0.021700,0.00210,-0.029700
20190531,-0.069400,-0.013300,-0.023700,0.00210,0.075600
20190628,0.069300,0.002800,-0.007100,0.00180,-0.023000
20190731,0.011900,-0.020400,0.005700,0.00190,0.027500
20190830,-0.025800,-0.023300,-0.048900,0.00160,0.069200
20190930,0.014300,-0.009700,0.068800,0.00180,-0.068100
20191031,0.020700,0.002500,-0.019100,0.00150,0.001500
20191129,0.038700,0.008500,-0.020900,0.00120,-0.026600
20191231,0.027700,0.007000,0.018000,0.00140,-0.017700
20200131,-0.001000,-0.031300,-0.061700,0.00130,0.059800
20200228,-0.081300,0.010200,-0.037500,0.00120,-0.004000
20200331,-0.133800,-0.048900,-0.139200,0.00120,0.079700
20200430,0.136500,0.025600,-0.013000,0.00000,-0.052300
20200529,0.055800,0.025300,-0.049200,0.00010,0.004200
20200630,0.024600,0.026700,-0.021200,0.00010,-0.007300
20200731,0.057700,-0.022800,-0.015300,0.00010,0.076400
20200831,0.076300,-0.002800,-0.029500,0.00010,0.005500
20200930,-0.036300,0.000500,-0.025800,0.00010,0.031400
20201030,-0.021000,0.044000,0.041400,0.00010,-0.030400
20201130,0.124700,0.056300,0.021000,0.00010,-0.124300
20201231,0.046300,0.048300,-0.014100,0.00010,-0.023200
20210129,-0.000300,0.071200,0.030000,0.00000,0.045000
20210226,0.027800,0.020400,0.072000,0.00000,-0.078900
20210331,0.030800,-0.024100,0.074100,0.00000,-0.061400
20210430,0.049300,-0.031200,-0.009500,0.00000,0.011000
20210528,0.002900,-0.002800,0.070400,0.00000,0.008800
20210630,0.027500,0.017600,-0.078200,0.00000,0.021900
20210730,0.012700,-0.039600,-0.017400,0.00000,-0.022800
20210831,0.029100,-0.004600,-0.001500,0.00000,0.025200
20210930,-0.043700,0.007500,0.050600,0.00000,0.015300
20211029,0.066500,-0.023000,-0.004800,0.00000,0.031900
20211130,-0.015500,-0.013600,-0.004200,0.00000,0.008900
20211231,0.031000,-0.016000,0.032200,0.00010,-0.026000
20220131,-0.062500,-0.059300,0.127400,0.00000,-0.025000
20220228,-0.022900,0.021800,0.030900,0.00000,0.017300
20220331,0.030600,-0.015900,-0.018000,0.00000,0.029700
